#TN	Raw1	Raw2	Raw3	Raw4	Raw5	Raw6	#	#한글명	TN	구분	성격	비고	출처	
#	蒴𧄒						#	#				𧄒	광제비급	
#	𧄒麥						#	#					광제비급	
#	𦭷芒						#	#					광제비급	
#	𦭷稻芒						#	#					광제비급	
#							#	#	狵				광제비급	
#							#	#	觸				광제비급	
#							#	#	盫				광제비급	
斑猫	斑蝥						#	반묘					의방집해	
白殭蠶	白僵蠶	白彊蠶	白干蠶	白干蚕	白疆蠶		#	백강잠	殭	본초	통용		상한경험방요촬	
白殭蠶	白疆蠶	白薑蠶					#	백강잠						
白芨	白及						#	백급					의종금감_윤석희	
白痢	白利						#	백리	痢	병증	통용	痢 포함 단어 전부	일반	
百沸湯	白沸湯						#	백비탕	百	본초	통용		단방신편	
白鮮皮	白蘚皮						#	백선피					의종금감_윤석희	
百草霜	百艸霜	百屮霜					#	백초상	草	본초	통용	草 포함 단어 전부	일반	
赤茯苓	赤伏													
白茯苓	白伏													
茯苓	茯笭	茯令	伏苓	伏笭	伏令	茯芩	#	복령	苓	본초	통용		일반	
僕參	仆參						#	복삼						
茯神	伏神						#	복신	茯	본초	통용		의방합부	
復溜	復留						#	부류		경혈	통용		침구자생경	
跗陽	附陽						#	부양		경혈	통용		침구자생경	
腑臟	府藏						#	부장						
痞滿	否滿						#	비만	痞	병증	통용		의방합부	
四肢	四支	四枝					#	사지						
麝香	射香						#	사향	麝	본초	통용		가감십삼방	
山楂	山查						#	산사					의방집해	
酸漿	酸醬						#	산장	漿	본초	통용		단방신편	
酸棗仁	山召仁						#	산조인	棗	본초	통용		의방합부	
商曲	高曲						#	상곡		경혈	이명??		침구자생경	이명인지 확인 필요
生薑	生干	生姜					#	생강	薑	본초	통용			
石膏	石羔	石古					#	석고					광제비급	
石楠葉	石南葉						#	석남엽	楠	본초	통용		가감십삼방	
石耳	石茸						#	석이	耳	본초	통용		단방신편	
旋覆花	旋複花						#	선복화						
小腹	少腹						#	소복						
瘙痒	搔痒						#	소양		병증	통용		침구자생경	
小鰕	小蝦						#	소하	鰕	본초	오기		단방신편	
小茴香	少茴香						#	소회향						
續斷	績斷						#	속단						
飱泄	飡泄						#	손설					의방집해	
茱萸	茱莄	茱英					#	수유						
洒淅	灑浙	灑淅	洒浙	洗淅	洗浙		#	쇄석						
僧牙	僧莪	僧兒					#	승아	牙	본초	통용		단방신편	
尸厥	尸蹶						#	시궐		병증	통용		침구자생경	
神麯	神麴						#	신곡					의방집해	
腋腫	掖腫						#	액종						
腋下	掖下						#	액하						
罌粟	鸎粟						#	앵속					의종금감_윤석희	
良薑	良干	良姜					#	양강	薑	본초	통용	량강	가감십삼방	
陽谿	陽溪						#	양계						
陽蹻	陽蹺	陽橋					#	양교		경혈	통용		침구자생경	
列缺	列決						#	열결						
五臟	五藏						#	오장						
吳鶴皐	吳鶴皋						#	오학고					의방집해	
腲腿風	猥腿風						#	외퇴풍		병증	통용		침구자생경	
繞臍	遶臍						#	요제						
龍膽	龍瞻						#	용담						
牛膝	半膝						#	우슬						
六腑	六府						#	육부						
肉蓯蓉	肉從容	肉從蓉	肉蓯容				#	육종용	蓯	본초	통용		의방합부	
陰蹻	陰蹺	陰橋					#	음교		경혈	통용		침구자생경	두 음교가 같은 것이 확실한가??(두가지 용어가 모두 나옴)
痢疾	利疾						#	이질	痢	병증	통용	痢 포함 단어 전부	일반	
人蔘	人參	仁蔘	仁參				#	인삼	蔘	본초	통용		일반	
炙甘草	灸甘草						#	자감초			통용		광제비급	
臟毒	莊毒						#	장독			오기		광제비급	
腸澼	腸僻						#	장벽						
臟腑	莊府	藏府					#	장부	臟/腑				광제비급	
臟痺	藏痺						#	장비						
猪苓	豬苓	猪令					#	저령	猪	본초	통용	이체자?	일반	
赤痢	赤利						#	적리	痢	병증	통용	痢 포함 단어 전부	일반	
赤白痢	赤白利						#	적백리	痢	병증	통용	痢 포함 단어 전부	일반	
睛明	精明						#	정명		경혈	통용		침구자생경	
肘髎	肘聊	肘窌					#	주료		경혈	통용		침구자생경	
肘腋	肘掖						#	주액						
竹茹	竹筎						#	죽여					광제비급	
枳殼	枳角	只角	只殼				#	지각	殼	본초	통용		의방합부	
枳實	只實						#	지실	枳	본초	통용		의방합부	
至榮	至營	至滎					#	지영	榮	경혈	통용		동의보감	
肢腫	支腫						#	지종						
神麯	神曲	神麴												
地黃	芐	苄					#	지황					광제비급	
熟地黃	熟池黃						#	숙지황						
陳皮	蔯皮						#	진피						
天谿	天溪						#	천계		경혈	통용		침구자생경	
川芎	川藭						#	천궁	芎	본초	통용		가감십삼방	
天花粉	天花分						#	천화분						
淸酒	靑酒						#	청주						
草果	草菓						#	초과	果	본초	통용		가감십삼방	
太谿	太溪	大溪	大谿				#	태계		경혈	통용		침구자생경	
太白	大白						#	태백	太	경혈	통용		찰병요결	
太淵	大淵						#	태연						
太乙	大乙						#	태을						
太倉	大倉						#	태창						
太泉	大泉						#	태천		경혈	통용		침구자생경	
太衝	太冲	太沖	大衝	大冲	大沖		#	태충					광제비급	
菟絲子	兔絲子	兎絲子					#	토사자	菟	본초	통용		의방합부	
寒慄	寒栗						#	한율						
解谿	解溪						#	해계		경혈	통용		침구자생경	
香附	香付						#	향부	附	본초	통용		의방합부	
懸釐	懸厘						#	현리		경혈	통용		침구자생경	
痃癖	痃僻						#	현벽		병증	통용		침구자생경	
俠谿	俠溪						#	협계		경혈	통용		침구자생경	
俠白	夾白						#	협백		경혈	통용		침구자생경	
挾臍	俠臍	夾臍					#	협제						
環跳	𨆈跳	環珧					#	환도	環				광제비급	
黃芩	黃今						#	황금					광제비급	
黃芪	黃耆						#	황기	芪	본초	통용		가감십삼방	
黃柏	黃栢	黃蘗					#	황백					광제비급	
後谿	後溪	后溪					#	후계		경혈	통용		침구자생경	
厚朴	厚樸						#	후박					의종금감_윤석희	
稀薟	希薟						#	희첨	稀	본초	통용		단방신편	
溫溜	溫留						#	온유		경혈				
勞宮	勞官						#	노궁		경혈				
步廊	步郞						#	보랑		경혈				
臑兪	臑腧	臑輸					#	노수	兪	경혈				
腰兪	腰腧	腰輸					#	요수	兪	경혈				
肩外兪	肩外腧	肩外輸					#	견외수	兪	경혈				
肩中兪	肩中腧	肩中輸					#	견중수	兪	경혈				
肺兪	肺腧	肺輸					#	폐수	兪	경혈	통용		동의보감	
