# From	To	비고
發不白	髮不白	
令發長	令髮長	
發長黑	令髮長黑	
發早白	令髮早白	
毛發	毛髮	
髮腠	發腠	
無病人發	無病人髮	
物如發	物如髮	
發鬢	髮鬢	
發鬚	髮鬚	
發皆貫	髮皆貫	
發乾而聳	髮乾而聳	
發哽	髮哽	
發垢	髮垢	
發多梳	髮多梳	
發落	髮落	
發立筋靑	髮立筋靑	
發無澤	髮無澤	
發薄不生	髮薄不生	
發不白	髮不白	
發不生	髮不生	
發不着紙	髮不着紙	
發所覆	髮所覆	
發屬腎	髮屬腎	
發屬心	髮屬心	
發始白	髮始白	
發始墮	髮始墮	
發是血之餘	髮是血之餘	
發烊盡	髮烊盡	
發如乾	髮如乾	
發與眉衝	髮與眉衝	
發亦烏	髮亦烏	
發宜多櫛	髮宜多櫛	
發以下	髮以下	
發者腦之華	髮者腦之華	
發者血之餘	髮者血之餘	
發長極	髮長極	
發長密	髮長密	
發長潤	髮長潤	
發長齒更	髮長齒更	
發粘着紙	髮粘着紙	
發占凶證	髮占凶證	
拔頂發	拔頂髮	
發際	髮際	
發直如	髮直如	
發盡脫	髮盡脫	
發焦	髮焦	
發齒骨甲	髮齒骨甲	
發墮	髮墮	
發脫落	髮脫落	
發脫眉落	髮脫眉落	
發髲	髮髲	
發瘕	髮瘕	
發汗如油	髮汗如油	
發黃落	髮黃落	
發灰	髮灰	
發稀小	髮稀小	
病人解發	病人解髮	
不久發生	不久髮生	
肉發虱	肉髮虱	
蒜發	蒜髮	
生禿發	生禿髮	
生發膏	生髮膏	
生發且長黑	生髮且長黑	
生新發	生新髮	
燒之有發氣	燒之有髮氣	
手挽其發	手挽其髮	
是發入胃	是髮入胃	
顖上發	顖上髮	
腎主發	腎主髮	
腎華在發	腎華在髮	
撚發	撚髮	
染發	染髮	
榮於發	榮於髮	
銳發下	銳髮下	
誤食發而然	誤食髮而然	
誤呑發	誤呑髮	
油發	油髮	
惟一發	惟一髮	
有一紅發	有一紅髮	
潤發	潤髮	
一發而已	一髮而已	
入發至皮	入髮至皮	
髭發	髭髮	
長發令黑	長髮令黑	
將油及發	將油及髮	
在頭曰發	在頭曰髮	
主無發	主無髮	
主生發	主生髮	
取其發	取其髮	
齒更發長	齒更髮長	
齒發浮落	齒髮浮落	
齒發去	齒髮去	
齒發散	齒髮散	
胎發	胎髮	
吐物如發	吐物如髮	
被發	被髮	
項發以下	項髮以下	
血衰則發衰	血衰則髮衰	
血熱則發黃	血熱則髮黃	
毫發	毫髮	
蒸發根	蒸髮根	
		
## 炼 -> 煉 예외		
川煉	川鍊	#천련자, 천련육
煉骨	鍊骨	
煉去沙石	鍊去沙石	#오령지 법제
煉魄	鍊魄	# 복령 효능
煉銀	鍊銀	
煉去礦	鍊去礦	
煉鍼	鍊鍼	
